Time,RNTI,DLPRB,SumPrbs,NumSlots
1,17921,3.83987,4700,177
2,17921,0.165033,202,7
3,17921,0.00245098,3,3
4,17921,0.273693,335,20
5,17921,0.000816993,1,1
6,17921,0.000816993,1,1
7,17921,0.0,0,0
8,17921,0.0,0,0
9,17921,0.0,0,0
10,17921,7.67565,9395,233
11,17921,23.7484,29068,722
12,17921,19.4297,23782,634
13,17921,15.6454,19150,489
14,17921,15.9592,19534,497
15,17921,14.433,17666,465
16,17921,13.5686,16608,423
17,17921,12.5302,15337,426
18,17921,11.8121,14458,422
19,17921,11.1454,13642,403
20,17921,10.5629,12929,393
21,17921,12.7394,15593,450
22,17921,13.8186,16914,428
23,17921,13.8129,16907,431
24,17921,14.1569,17328,437
25,17921,9.97958,12215,329
26,17921,0.0294118,36,11
27,17921,0.0686275,84,5
28,17921,2.16585,2651,69
29,17921,4.93464,6040,245
30,17921,0.132353,162,24
31,17921,13.0825,16013,493
32,17921,22.3301,27332,829
33,17921,18.9918,23246,770
34,17921,15.6969,19213,551
35,17921,15.5261,19004,528
36,17921,16.9747,20777,666
37,17921,20.9812,25681,709
38,17921,25.1585,30794,844
39,17921,21.6054,26445,794
40,17921,18.469,22606,767
41,17921,17.2949,21169,673
42,17921,16.2132,19845,586
43,17921,18.665,22846,779
44,17921,16.848,20622,627
45,17921,18.3578,22470,719
46,17921,8.79984,10771,354
47,17921,0.0,0,0
48,17921,0.0,0,0
49,17921,0.0,0,0
50,17921,6.18627,7572,266
51,17921,30.9739,37912,1045
52,17921,30.8497,37760,1028
53,17921,30.7925,37690,1025
54,17921,31.9257,39077,1122
55,17921,32.1797,39388,1135
56,17921,30.8227,37727,1029
57,17921,32.3292,39571,1156
58,17921,42.7239,52294,1517
59,17921,44.5972,54587,1580
60,17921,38.4739,47092,1522
61,17921,42.2835,51755,1568
62,17921,43.7565,53558,1583
63,17921,41.8145,51181,1471
64,17921,65.915,80680,1884
65,17921,53.9845,66077,1564
66,17921,0.0,0,0
67,17921,0.00735294,9,3
68,17921,0.0,0,0
69,17921,0.0,0,0
70,17921,0.0,0,0
71,17921,0.0,0,0
72,17921,0.0196078,24,8
73,17921,71.2827,87250,1721
74,17921,72.0458,88184,2054
75,17921,64.7827,79294,1926
76,17921,62.0523,75952,1828
77,17921,61.143,74839,1787
78,17921,62.9877,77097,1868
79,17921,64.0327,78376,1905
80,17921,64.1838,78561,1919
81,17921,66.9567,81955,2043
82,17921,66.5817,81496,1906
83,17921,99.7353,122076,2400
84,17921,78.277,95811,2192
85,17921,61.1912,74898,1787
86,17921,62.0891,75997,1823
87,17921,61.201,74910,1787
88,17921,17.6217,21569,526
89,17921,0.0,0,0
90,17921,0.0,0,0
91,17921,0.00653595,8,2
92,17921,0.00408497,5,3
93,17921,0.0106209,13,6
94,17921,0.0130719,16,7
95,17921,0.0147059,18,8
96,17921,77.5041,94865,1870
97,17921,99.8538,122221,2400
98,17921,99.884,122258,2400
99,17921,99.893,122269,2400
100,17921,99.8521,122219,2400
101,17921,99.7565,122102,2400
102,17921,100.0,122400,2400
103,17921,100.0,122400,2400
104,17921,96.7271,118394,2328
105,17921,99.9804,122376,2400
106,17921,100.0,122400,2400
107,17921,99.7614,122108,2400
108,17921,99.7908,122144,2401
109,17921,99.9592,122350,2400
110,17921,99.5114,121802,2400
111,17921,91.576,112089,2218
112,17921,0.133987,164,27
113,17921,0.0,0,0
114,17921,0.0,0,0
115,17921,0.000816993,1,1
116,17921,0.0,0,0
117,17921,0.0,0,0
118,17921,0.0,0,0
119,17921,0.0,0,0
120,17921,0.000816993,1,1
121,17921,0.0147059,18,8
122,17921,57.4199,70282,1389
123,17921,99.9608,122352,2400
124,17921,99.9804,122376,2400
125,17921,99.9412,122328,2400
126,17921,99.9804,122376,2400
127,17921,99.6185,121933,2399
128,17921,99.9371,122323,2400
129,17921,99.9804,122376,2400
130,17921,99.9804,122376,2401
131,17921,100.0,122400,2400
132,17921,99.9804,122376,2400
133,17921,100.022,122427,2401
134,17921,100.0,122400,2400
135,17921,99.9608,122352,2400
136,17921,98.1234,120103,2361
137,17921,99.1855,121403,2400
138,17921,99.5556,121856,2400
139,17921,99.8284,122190,2400
140,17921,12.3374,15101,315
141,17921,0.0,0,0
142,17921,0.0,0,0
143,17921,0.0,0,0
144,17921,0.0825163,101,4
145,17921,0.0,0,0
146,17921,0.0,0,0
147,17921,6.88072,8422,257
148,17921,0.0302288,37,7
149,17921,0.0,0,0
150,17921,0.0,0,0
151,17921,0.0,0,0
152,17921,0.183007,224,19
153,17921,22.2418,27224,570
154,17921,40.3374,49373,1003
155,17921,40.866,50020,1012
156,17921,40.7059,49824,1010
157,17921,40.6765,49788,1007
158,17921,40.835,49982,1014
159,17921,40.7884,49925,1011
160,17921,40.3987,49448,1003
161,17921,40.8178,49961,1015
162,17921,40.5498,49633,1007
163,17921,60.3717,73895,1473
164,17921,96.0539,117570,2310
165,17921,99.8464,122212,2400
166,17921,99.9706,122364,2400
167,17921,99.8775,122250,2400
168,17921,95.7042,117142,2309
169,17921,0.0138889,17,7
170,17921,0.0,0,0
171,17921,0.0,0,0
172,17921,0.0,0,0
173,17921,0.0,0,0
174,17921,0.00735294,9,4
175,17921,0.0,0,0
176,17921,0.0,0,0
177,17921,0.00245098,3,2
178,17921,35.8268,43852,870
179,17921,100.042,122451,2401
180,17921,99.9804,122376,2400
181,17921,99.781,122132,2400
182,17921,99.8815,122255,2400
183,17921,99.7533,122098,2400
184,17921,99.9608,122352,2400
185,17921,99.9346,122320,2401
186,17921,99.8881,122263,2401
187,17921,99.7132,122049,2396
188,17921,99.8905,122266,2401
189,17921,99.7475,122091,2400
190,17921,99.4567,121735,2400
191,17921,99.4126,121681,2400
192,17921,99.5025,121791,2400
193,17921,99.6062,121918,2400
194,17921,99.8137,122172,2400
195,17921,99.5711,121875,2400
196,17921,98.241,120247,2363
197,17921,27.5678,33743,723
198,17921,0.248366,304,32
199,17921,0.0114379,14,4
200,17921,0.125,153,13
201,17921,0.00571895,7,2
202,17921,0.51634,632,33
203,17921,0.0,0,0
204,17921,0.00898693,11,4
205,17921,0.151144,185,16
206,17921,0.00653595,8,2
207,17921,0.0522876,64,12
208,17921,0.0,0,0
209,17921,0.0,0,0
210,17921,0.0,0,0
211,17921,0.0,0,0
212,17921,0.0,0,0
213,17921,0.0,0,0
214,17921,0.0,0,0
215,17921,0.0,0,0
216,17921,0.0,0,0
217,17921,0.0,0,0
218,17921,0.0,0,0
219,17921,0.0,0,0
